lo_id,course_name,group_name
452766,"Первые шаги в робототехнику",26.09
452766,"Математика для начинающих",26.09
568313,"Основы программирования на языке Python",26.09
589106,"Лингвистика для начинающих",26.09
452766,"Основы программирования на языке Python",26.09
577260,"Основы программирования на языке Python",26.09
568313,"Академическое письмо (Academic Writing)",26.09
577260,"Академическое письмо (Academic Writing)",26.09
577260,"Первые шаги в робототехнику",26.09
569715,"Академическое письмо (Academic Writing)",26.09
608874,"Математика для начинающих",26.09
608813,"Биологический калейдоскоп",26.09
506140,"Лингвистика для начинающих",26.09
608527,"Биологический калейдоскоп",26.09
569652,"Академическое письмо (Academic Writing)",26.09
608896,"Основы программирования на языке Python",26.09
608896,"Лингвистика для начинающих",26.09
608536,"Биологический калейдоскоп",26.09
608536,"Математика для начинающих",26.09
608536,"Подготовка к олимпиаде «Русский медвежонок»",26.09
498438,"Основы программирования на языке Python",26.09
589063,"Лингвистика для начинающих",26.09
579857,"Биологический калейдоскоп",26.09
608753,"Основы программирования на языке Python",26.09
608908,"Биологический калейдоскоп",26.09
608899,"Подготовка к олимпиаде «Русский медвежонок»",26.09
608899,"Первые шаги в робототехнику",26.09
608308,"Основы программирования на языке Python",26.09
606210,"Биологический калейдоскоп",26.09
605678,"Академическое письмо (Academic Writing)",26.09
605678,"Основы программирования на языке Python",26.09
525181,"Биологический калейдоскоп",26.09
525181,"Лингвистика для начинающих",26.09
588984,"Основы программирования на языке Python",26.09
568114,"Основы программирования на языке Python",26.09
602662,"Математика для начинающих",26.09
602662,"Подготовка к олимпиаде «Русский медвежонок»",26.09
588509,"Академическое письмо (Academic Writing)",26.09
547762,"Академическое письмо (Academic Writing)",26.09
551231,"Подготовка к олимпиаде «Русский медвежонок»",26.09
457220,"Основы программирования на языке Python",26.09
551231,"Основы программирования на языке Python",26.09
579849,"Первые шаги в робототехнику",26.09
551231,"Математика для начинающих",26.09
551231,"Биологический калейдоскоп",26.09
529618,"Основы программирования на языке Python",26.09
608812,"Подготовка к олимпиаде «Русский медвежонок»",26.09
602325,"Подготовка к олимпиаде «Русский медвежонок»",26.09
608812,"Лингвистика для начинающих",26.09
544783,"Основы программирования на языке Python",26.09
601049,"Математика для начинающих",26.09
500312,"Подготовка к олимпиаде «Русский медвежонок»",26.09
503013,"Основы программирования на языке Python",26.09
569985,"Академическое письмо (Academic Writing)",26.09
599461,"Математика для начинающих",26.09
599461,"Биологический калейдоскоп",26.09
599461,"Подготовка к олимпиаде «Русский медвежонок»",26.09
602325,"Академическое письмо (Academic Writing)",26.09
500312,"Академическое письмо (Academic Writing)",26.09
608527,"Подготовка к олимпиаде «Русский медвежонок»",26.09
608527,"Основы программирования на языке Python",26.09
608527,"Первые шаги в робототехнику",26.09
608527,"Математика для начинающих",26.09
547624,"Подготовка к олимпиаде «Русский медвежонок»",26.09
547624,"Академическое письмо (Academic Writing)",26.09
547624,"Лингвистика для начинающих",26.09
606054,"Подготовка к олимпиаде «Русский медвежонок»",26.09
543946,"Подготовка к олимпиаде «Русский медвежонок»",26.09
569523,"Биологический калейдоскоп",26.09
531505,"Основы программирования на языке Python",26.09
531505,"Академическое письмо (Academic Writing)",26.09
569523,"Математика для начинающих",26.09
608952,"Математика для начинающих",26.09
529721,"Лингвистика для начинающих",26.09
608528,"Математика для начинающих",26.09
576999,"Подготовка к олимпиаде «Русский медвежонок»",26.09
576999,"Академическое письмо (Academic Writing)",26.09
599583,"Основы программирования на языке Python",26.09
546919,"Подготовка к олимпиаде «Русский медвежонок»",26.09
502382,"Академическое письмо (Academic Writing)",26.09
528914,"Академическое письмо (Academic Writing)",26.09
606054,"Основы программирования на языке Python",26.09
572536,"Академическое письмо (Academic Writing)",26.09
544876,"Математика для начинающих",26.09
544876,"Подготовка к олимпиаде «Русский медвежонок»",26.09
603648,"Математика для начинающих",26.09
544876,"Первые шаги в робототехнику",26.09
549853,"Подготовка к олимпиаде «Русский медвежонок»",26.09
605867,"Академическое письмо (Academic Writing)",26.09
608972,"Биологический калейдоскоп",26.09
549853,"Биологический калейдоскоп",26.09
