lo_id,grade,study_year_id,school_app,course_id,course_name,created_at,accepted_at,group_name,lessons_completed,course_start_at,course_lesson_cnt,student_score,max_score,test_result_final
523390,6,2,1,7,"Биологический калейдоскоп","2022-09-08 13:52:34","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",9,"2022-10-16 18:54:41",11,142,249,100
525181,6,2,1,7,"Биологический калейдоскоп","2022-09-05 19:41:42","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",11,"2022-09-28 13:37:00",11,192,249,5
530923,6,2,1,7,"Биологический калейдоскоп","2022-09-06 18:39:22","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",7,"2022-09-30 12:50:13",11,74,249,100
551221,5,1,1,7,"Биологический калейдоскоп","2022-09-07 15:08:03","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",4,"2022-09-28 11:56:59",11,69,249,5
575428,6,2,1,7,"Биологический калейдоскоп","2022-09-07 19:47:42","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",7,"2022-10-11 16:20:57",11,78,249,100
593327,5,1,1,7,"Биологический калейдоскоп","2022-09-07 12:33:33","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",5,"2022-10-02 19:32:17",11,46,249,90
599461,5,1,1,7,"Биологический калейдоскоп","2022-09-06 00:27:53","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",1,"2022-09-28 11:33:48",11,1,249,100
606210,5,1,0,7,"Биологический калейдоскоп","2022-09-05 18:46:18","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",8,"2022-09-27 20:01:34",11,120,249,5
608527,5,1,0,7,"Биологический калейдоскоп","2022-09-05 15:04:43","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",8,"2022-09-28 11:38:44",11,62,249,95
609059,5,1,1,7,"Биологический калейдоскоп","2022-09-07 15:37:51","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",10,"2022-09-30 14:06:11",11,88,249,100
609095,6,2,1,7,"Биологический калейдоскоп","2022-09-08 15:21:45","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",10,"2022-09-29 15:26:22",11,95,249,NULL
485054,6,2,0,7,"Биологический калейдоскоп","2022-09-07 15:02:23","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",7,"2022-09-28 10:19:32",11,65,249,95
509776,6,2,1,7,"Биологический калейдоскоп","2022-09-07 21:24:17","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",2,"2022-10-02 22:12:22",11,16,249,95
549630,6,2,1,7,"Биологический калейдоскоп","2022-09-07 20:17:53","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",2,"2022-09-30 10:10:00",11,3,249,95
575488,6,2,1,7,"Биологический калейдоскоп","2022-09-07 16:57:11","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",10,"2022-10-09 14:45:10",11,157,249,95
599622,6,2,1,7,"Биологический калейдоскоп","2022-09-07 12:34:57","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",11,"2022-09-28 09:41:03",11,104,249,95
608536,6,2,1,7,"Биологический калейдоскоп","2022-09-05 17:07:01","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",11,"2022-10-01 11:06:22",11,121,249,95
609199,5,1,0,7,"Биологический калейдоскоп","2022-09-08 14:54:30","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",3,"2022-10-03 21:45:55",11,30,249,95
547444,5,1,1,7,"Биологический калейдоскоп","2022-09-07 16:31:15","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",11,"2022-09-29 15:51:06",11,159,249,90
579857,5,1,1,7,"Биологический калейдоскоп","2022-09-05 17:47:52","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",7,"2022-09-28 20:52:19",11,80,249,90
593611,5,1,1,7,"Биологический калейдоскоп","2022-09-07 13:52:42","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",10,"2022-10-03 21:16:57",11,115,249,90
551359,6,2,1,7,"Биологический калейдоскоп","2022-09-07 10:08:32","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",11,"2022-09-28 15:45:27",11,79,249,85
609045,5,1,0,7,"Биологический калейдоскоп","2022-09-07 14:28:45","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",3,"2022-09-28 14:49:43",11,15,249,80
609206,5,1,1,7,"Биологический калейдоскоп","2022-09-08 15:46:52","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",3,"2022-09-28 15:11:49",11,15,249,80
549853,6,2,1,7,"Биологический калейдоскоп","2022-09-06 18:27:58","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",2,"2022-10-18 17:25:50",11,31,249,75
608908,5,1,0,7,"Биологический калейдоскоп","2022-09-05 18:05:33","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",2,"2022-10-12 11:13:58",11,28,249,70
609182,5,1,0,7,"Биологический калейдоскоп","2022-09-08 13:11:32","2022-09-26 23:59:59","Биолог. калейдоскоп 26.09",4,"2022-09-28 16:53:01",11,36,249,65
462805,7,3,0,5,"Академическое письмо (Academic Writing)","2022-09-07 13:21:38","2022-09-26 23:59:59","Академ. письмо 26.09",20,"2022-09-28 19:34:09",21,56,103,100
500312,7,3,1,5,"Академическое письмо (Academic Writing)","2022-09-06 08:41:49","2022-09-26 23:59:59","Академ. письмо 26.09",20,"2022-09-29 11:59:03",21,67,103,10
531455,8,4,1,5,"Академическое письмо (Academic Writing)","2022-09-07 14:01:57","2022-09-26 23:59:59","Академ. письмо 26.09",14,"2022-09-28 17:46:37",21,58,103,10
566371,6,2,1,5,"Академическое письмо (Academic Writing)","2022-09-06 21:03:59","2022-09-26 23:59:59","Академ. письмо 26.09",9,"2022-10-14 19:58:28",21,33,103,100
569715,7,3,1,5,"Академическое письмо (Academic Writing)","2022-09-05 13:23:00","2022-09-26 23:59:59","Академ. письмо 26.09",1,"2022-10-01 18:53:01",21,10,103,64
530870,6,2,1,5,"Академическое письмо (Academic Writing)","2022-09-07 18:26:36","2022-09-26 23:59:59","Академ. письмо 26.09",6,"2022-09-30 17:25:40",21,18,103,90
547762,6,2,1,5,"Академическое письмо (Academic Writing)","2022-09-05 20:49:45","2022-09-26 23:59:59","Академ. письмо 26.09",2,"2022-10-14 19:22:59",21,2,103,90
565356,6,2,1,5,"Академическое письмо (Academic Writing)","2022-09-07 16:44:27","2022-09-26 23:59:59","Академ. письмо 26.09",1,"2022-09-28 21:23:53",21,8,103,90
